#,company_name,short_description,industry,employes,location,tech_stack
1,Animoca Brands,"A leading Hong Kong-based blockchain gaming and web3 company, known for The Sandbox and NFT games.",Gaming / Blockchain,1.000000000,Hong Kong,"[Ethereum, Polygon, Unity]"
2,Immutable,Australian crypto-game studio building scalable blockchain games like Gods Unchained and Guild of Guardians. ,Gaming / Blockchain,200,Australia,"[Immutable X, Solidity, Unity]"
3,Kwalee,"UK-based mobile game developer focused on hyper-casual games, publishing on iOS and Android. ",Gaming,180,UK,"[Unity, Firebase, C#]"
4,Stepico Games,"Ukrainian game development studio making web3 and Unity-based games, with a remote-first team. ",Gaming / Web3,200.0+,Ukraine,"[Unity, Solidity]"
5,GLITCH,"Indie game development firm in Minnesota, small team building original multiplayer and indie titles. ",Indie Games,11,USA,"[Custom Engine, Unity]"
6,Sky Mavis,"The company behind Axie Infinity, pioneering in play-to-earn and blockchain-based game economies. ",Gaming / Blockchain,300,Vietnam,"[Ronin, Solidity, Unity]"
7,Gala Games,Web3 gaming studio building decentralized games where players actually own their in-game assets. ,Gaming / Web3,120,USA,"[Gala Chain, Unity, C#]"
8,Dapper Labs,Blockchain company behind Flow blockchain and collectible games like NBA Top Shot. ,Blockchain / Gaming,250,Canada,"[Flow, Cadence, React]"
9,Illuvium,"Web3 RPG and auto-battler game studio, creating a high-fidelity blockchain-based game world. ",Gaming / Blockchain,150,Australia,"[Ethereum, Unity, Unreal]"
10,Playrix,"Major mobile game studio behind GardenScapes, Township, known for large player base and deep user retention. ",Gaming,"3,000+",Ireland / Russia,"[Unity, C#]"
11,Tripledot Studios,"London-based mobile game developer, famous for Woodoku and hyper-casual titles; scaling rapidly. ",Gaming,200,UK,"[Unity, Mobile SDKs]"
12,Epic Games,"Global game and engine company; creators of Unreal Engine, Fortnite; very large but relevant for enterprise. ",AAA / Engine,"3,000+",USA,"[Unreal Engine, C++]"
13,Unity Technologies,"Engine provider for many game companies; their tech is used by indie, mobile, and web3 studios.",Gaming / Tools,5.000000000,USA,[Unity Engine]
14,Supercell,"Mobile game powerhouse developer of Clash of Clans, Brawl Stars, with huge user monetization expertise.",Gaming,300,Finland,"[C++, Unity]"
15,Rovio Entertainment,"Finnish mobile game company behind Angry Birds franchise, large user base and proven monetization.",Gaming,400,Finland,"[Unity, C++]"
16,Niantic,"Augmented reality gaming company; known for Pokémon GO, building location-based multiplayer experiences.",Gaming / AR,600,USA,"[Unity, AR]"
17,CD Projekt Red,Polish AAA game studio behind The Witcher and Cyberpunk; high production values and deep narrative games.,AAA Games,"1,000+",Poland,"[Unreal, C++]"
18,Ubisoft,"Global game publisher and developer across mobile, console, PC; very diverse portfolio.",AAA / Publishing,"20,000+",France / Global,"[Unreal, Unity]"
19,Turbine Labs,Small independent game studio building real-time multiplayer mobile games focused on social mechanics.,Indie / Multiplayer,50,USA,"[Unity, Node.js]"
20,Moon Active,"Mobile game developer known for match-3 and casual games, very strong live operations.",Mobile Gaming,400,Israel,"[Unity, C#]"
